rho,theta,a,b,x0,y0,x1,y1,x2,y2
8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 8, 1000, 8, -1000, 
911.0, 0.0, 1.0, 0.0, 911.0, 0.0, 911, 1000, 911, -1000, 
7.0, 1.5707964, -4.371139e-08, 1.0, -3.059797e-07, 7.0, -1000, 6, 999, 7, 
910.0, 1.5707964, -4.371139e-08, 1.0, -3.9777362e-05, 910.0, -1000, 909, 999, 910, 
11.0, 0.0, 1.0, 0.0, 11.0, 0.0, 11, 1000, 11, -1000, 
108.0, 0.0, 1.0, 0.0, 108.0, 0.0, 108, 1000, 108, -1000, 
111.0, 0.0, 1.0, 0.0, 111.0, 0.0, 111, 1000, 111, -1000, 
208.0, 0.0, 1.0, 0.0, 208.0, 0.0, 208, 1000, 208, -1000, 
211.0, 0.0, 1.0, 0.0, 211.0, 0.0, 211, 1000, 211, -1000, 
305.0, 0.0, 1.0, 0.0, 305.0, 0.0, 305, 1000, 305, -1000, 
408.0, 0.0, 1.0, 0.0, 408.0, 0.0, 408, 1000, 408, -1000, 
411.0, 0.0, 1.0, 0.0, 411.0, 0.0, 411, 1000, 411, -1000, 
508.0, 0.0, 1.0, 0.0, 508.0, 0.0, 508, 1000, 508, -1000, 
511.0, 0.0, 1.0, 0.0, 511.0, 0.0, 511, 1000, 511, -1000, 
605.0, 0.0, 1.0, 0.0, 605.0, 0.0, 605, 1000, 605, -1000, 
708.0, 0.0, 1.0, 0.0, 708.0, 0.0, 708, 1000, 708, -1000, 
711.0, 0.0, 1.0, 0.0, 711.0, 0.0, 711, 1000, 711, -1000, 
808.0, 0.0, 1.0, 0.0, 808.0, 0.0, 808, 1000, 808, -1000, 
811.0, 0.0, 1.0, 0.0, 811.0, 0.0, 811, 1000, 811, -1000, 
908.0, 0.0, 1.0, 0.0, 908.0, 0.0, 908, 1000, 908, -1000, 
10.0, 1.5707964, -4.371139e-08, 1.0, -4.371139e-07, 10.0, -1000, 9, 999, 10, 
107.0, 1.5707964, -4.371139e-08, 1.0, -4.6771183e-06, 107.0, -1000, 106, 999, 107, 
110.0, 1.5707964, -4.371139e-08, 1.0, -4.808253e-06, 110.0, -1000, 109, 999, 110, 
207.0, 1.5707964, -4.371139e-08, 1.0, -9.048257e-06, 207.0, -1000, 206, 999, 207, 
210.0, 1.5707964, -4.371139e-08, 1.0, -9.179392e-06, 210.0, -1000, 209, 999, 210, 
304.0, 1.5707964, -4.371139e-08, 1.0, -1.3288262e-05, 304.0, -1000, 303, 999, 304, 
407.0, 1.5707964, -4.371139e-08, 1.0, -1.7790535e-05, 407.0, -1000, 406, 999, 407, 
410.0, 1.5707964, -4.371139e-08, 1.0, -1.792167e-05, 410.0, -1000, 409, 999, 410, 
507.0, 1.5707964, -4.371139e-08, 1.0, -2.2161674e-05, 507.0, -1000, 506, 999, 507, 
510.0, 1.5707964, -4.371139e-08, 1.0, -2.2292808e-05, 510.0, -1000, 509, 999, 510, 
604.0, 1.5707964, -4.371139e-08, 1.0, -2.6401678e-05, 604.0, -1000, 603, 999, 604, 
707.0, 1.5707964, -4.371139e-08, 1.0, -3.0903953e-05, 707.0, -1000, 706, 999, 707, 
710.0, 1.5707964, -4.371139e-08, 1.0, -3.1035084e-05, 710.0, -1000, 709, 999, 710, 
807.0, 1.5707964, -4.371139e-08, 1.0, -3.527509e-05, 807.0, -1000, 806, 999, 807, 
810.0, 1.5707964, -4.371139e-08, 1.0, -3.5406225e-05, 810.0, -1000, 809, 999, 810, 
907.0, 1.5707964, -4.371139e-08, 1.0, -3.9646227e-05, 907.0, -1000, 906, 999, 907, 
313.0, 0.0, 1.0, 0.0, 313.0, 0.0, 313, 1000, 313, -1000, 
613.0, 0.0, 1.0, 0.0, 613.0, 0.0, 613, 1000, 613, -1000, 
312.0, 1.5707964, -4.371139e-08, 1.0, -1.3637953e-05, 312.0, -1000, 311, 999, 312, 
612.0, 1.5707964, -4.371139e-08, 1.0, -2.675137e-05, 612.0, -1000, 611, 999, 612, 
